id,group,y
274,35,1
275,35,1
276,35,1
277,35,1
278,35,1
279,35,1
280,35,1
281,36,2
282,36,3
283,36,2
284,36,3
285,36,3
286,36,1
287,36,2
288,36,2
289,37,1
290,37,2
291,37,2
292,37,1
293,37,3
294,37,2
295,37,1
296,37,2
297,38,3
298,38,1
299,38,1
300,38,2
301,38,2
302,38,2
303,38,1
304,38,2
305,39,1
306,39,2
307,39,1
308,39,1
309,39,1
310,39,1
311,39,1
312,39,1
313,40,1
314,40,2
315,40,1
316,40,3
317,40,1
318,40,2
319,40,1
320,40,3
321,41,1
322,41,2
323,41,2
324,41,1
325,41,3
326,41,3
327,41,3
328,41,2
329,42,1
330,42,3
331,42,3
332,42,2
333,42,2
334,42,1
335,42,2
336,42,2
337,43,1
338,43,1
339,43,1
340,43,1
341,43,1
342,43,1
343,43,1
344,43,1
345,44,1
346,44,1
347,44,1
348,44,1
349,44,1
350,44,1
351,44,1
352,44,1
353,45,1
354,45,2
355,45,3
356,45,1
357,45,2
358,45,1
359,45,2
360,45,1
361,46,2
362,46,3
363,46,3
364,46,1
365,46,3
366,46,2
367,46,3
368,46,1
369,47,1
370,47,3
371,47,1
372,47,1
373,47,2
374,47,2
375,47,1
376,47,2
377,48,2
378,48,1
379,48,1
380,48,1
381,48,1
382,48,1
383,48,1
384,48,1
385,49,1
386,49,1
387,49,1
388,49,1
389,49,2
390,49,1
391,49,1
392,49,1
393,50,1
394,50,1
395,50,1
396,50,1
397,50,1
398,50,1
399,50,1
400,50,1
401,51,2
402,51,1
403,51,3
404,51,3
405,51,3
406,51,3
407,51,3
408,51,3
409,52,1
410,52,1
411,52,1
412,52,1
413,52,1
414,52,1
415,52,1
416,52,1
417,53,3
418,53,3
419,53,3
420,53,3
421,53,3
422,53,2
423,53,3
424,53,3
425,54,1
426,54,2
427,54,1
428,54,2
429,54,2
430,54,1
431,54,1
432,54,3
433,55,1
434,55,2
435,55,3
436,55,2
437,55,3
438,55,1
439,55,3
440,55,1
441,56,2
442,56,1
443,56,1
444,56,2
445,56,3
446,56,1
447,56,1
448,56,1
449,57,3
450,57,3
451,57,3
452,57,3
453,57,3
454,57,3
455,57,3
456,57,3
457,58,1
458,58,2
459,58,2
460,58,1
461,58,3
462,58,3
463,58,1
464,58,2
465,59,1
466,59,1
467,59,2
468,59,3
469,59,1
470,59,1
471,59,1
472,59,1
473,60,2
474,60,2
475,60,2
476,60,3
477,60,3
478,60,2
479,60,3
480,60,3
481,61,3
482,61,3
483,61,1
484,61,3
485,61,2
486,61,3
487,61,3
488,61,2
489,62,1
490,62,2
491,62,1
492,62,1
493,62,1
494,62,1
495,62,1
496,62,1
497,63,1
498,63,2
499,63,2
500,63,1
501,63,1
502,63,2
503,63,1
504,63,2
505,64,1
506,64,1
507,64,1
508,64,2
509,64,2
510,64,1
511,64,2
512,64,1
513,65,3
514,65,2
515,65,2
516,65,2
517,65,3
518,65,3
519,65,2
520,65,3
521,66,3
522,66,1
523,66,3
524,66,2
525,66,2
526,66,3
527,66,1
528,66,3
529,67,3
530,67,2
531,67,2
532,67,3
533,67,3
534,67,3
535,67,3
536,67,3
537,68,1
538,68,1
539,68,1
540,68,1
541,68,1
542,68,2
543,68,1
544,68,2
545,69,2
546,69,2
547,69,1
548,69,1
549,69,3
550,69,1
551,69,3
552,69,1
553,70,1
554,70,1
555,70,1
556,70,1
557,70,1
558,70,2
559,70,2
560,70,1
561,71,1
562,71,2
563,71,1
564,71,3
565,71,3
566,71,1
567,71,1
568,71,1
569,72,1
570,72,1
571,72,1
572,72,1
573,72,1
574,72,3
575,72,1
576,72,2
577,73,2
578,73,1
579,73,1
580,73,2
581,73,3
582,73,3
583,73,3
584,73,1
585,74,3
586,74,2
587,74,3
588,74,3
589,74,3
590,74,3
591,74,2
592,74,3
593,75,1
594,75,2
595,75,1
596,75,2
597,75,2
598,75,1
599,75,3
600,75,2
601,76,2
602,76,3
603,76,3
604,76,3
605,76,3
606,76,3
607,76,3
608,76,3
609,77,1
610,77,3
611,77,2
612,77,1
613,77,2
614,77,3
615,77,3
616,77,2
617,78,1
618,78,1
619,78,1
620,78,1
621,78,3
622,78,3
623,78,3
624,78,3
625,79,1
626,79,1
627,79,1
628,79,1
629,79,1
630,79,2
631,79,1
632,79,1
633,80,3
634,80,3
635,80,3
636,80,3
637,80,3
638,80,3
639,80,3
640,80,2
641,81,3
642,81,3
643,81,1
644,81,1
645,81,3
646,81,1
647,81,1
648,81,2
649,82,2
650,82,1
651,82,1
652,82,1
653,82,1
654,82,1
655,82,1
656,82,1
657,83,3
658,83,3
659,83,3
660,83,3
661,83,3
662,83,3
663,83,3
664,83,3
665,84,3
666,84,1
667,84,2
668,84,3
669,84,3
670,84,2
671,84,3
672,84,1
673,85,3
674,85,1
675,85,3
676,85,2
677,85,2
678,85,1
679,85,2
680,85,2
681,86,1
682,86,2
683,86,2
684,86,1
685,86,3
686,86,3
687,86,2
688,86,1
689,87,3
690,87,3
691,87,3
692,87,2
693,87,2
694,87,3
695,87,1
696,87,3
697,88,1
698,88,1
699,88,1
700,88,1
701,88,1
702,88,1
703,88,1
704,88,2
705,89,2
706,89,1
707,89,1
708,89,1
709,89,3
710,89,1
711,89,2
712,89,1
713,90,1
714,90,3
715,90,1
716,90,3
717,90,2
718,90,1
719,90,3
720,90,3
721,91,1
722,91,1
723,91,1
724,91,1
725,91,1
726,91,1
727,91,2
728,91,2
729,92,3
730,92,2
731,92,1
732,92,1
733,92,1
734,92,2
735,92,1
736,92,3
737,93,2
738,93,2
739,93,2
740,93,1
741,93,1
742,93,1
743,93,2
744,93,1
745,94,3
746,94,1
747,94,2
748,94,3
749,94,1
750,94,3
751,94,3
752,94,3
753,95,1
754,95,1
755,95,3
756,95,2
757,95,1
758,95,3
759,95,2
760,95,2
761,96,2
762,96,1
763,96,1
764,96,1
765,96,1
766,96,1
767,96,1
768,96,1
769,97,3
770,97,2
771,97,2
772,97,3
773,97,2
774,97,3
775,97,3
776,97,2
777,98,1
778,98,2
779,98,2
780,98,2
781,98,1
782,98,3
783,98,2
784,98,2
785,99,2
786,99,2
787,99,3
788,99,3
789,99,1
790,99,3
791,99,3
792,99,1
793,100,3
794,100,3
795,100,2
796,100,3
797,100,3
798,100,3
799,100,3
800,100,3
801,101,3
802,101,3
803,101,3
804,101,3
805,101,2
806,101,3
807,101,3
808,101,3
809,102,3
810,102,3
811,102,3
812,102,3
813,102,3
814,102,2
815,102,3
816,102,1
817,103,1
818,103,2
819,103,1
820,103,2
821,103,3
822,103,2
823,103,1
824,103,1
825,104,1
826,104,3
827,104,1
828,104,1
829,104,1
830,104,1
831,104,1
832,104,2
833,105,2
834,105,3
835,105,1
836,105,3
837,105,3
838,105,3
839,105,2
840,105,3
841,106,2
842,106,1
843,106,3
844,106,1
845,106,2
846,106,2
847,106,1
848,106,1
849,107,1
850,107,3
851,107,1
852,107,2
853,107,2
854,107,2
855,107,3
856,107,2
857,108,2
858,108,1
859,108,3
860,108,3
861,108,1
862,108,3
863,108,2
864,108,1
865,109,1
866,109,1
867,109,2
868,109,2
869,109,1
870,109,1
871,109,1
872,109,1
873,110,1
874,110,2
875,110,1
876,110,1
877,110,1
878,110,1
879,110,1
880,110,2
881,111,3
882,111,1
883,111,2
884,111,2
885,111,3
886,111,2
887,111,3
888,111,2
889,112,1
890,112,1
891,112,1
892,112,1
893,112,1
894,112,1
895,112,2
896,112,1
897,113,1
898,113,1
899,113,1
900,113,1
901,113,1
902,113,1
903,113,2
904,113,1
905,114,1
906,114,2
907,114,3
908,114,1
909,114,2
910,114,3
911,114,1
912,114,2
913,115,2
914,115,3
915,115,2
916,115,1
917,115,3
918,115,2
919,115,3
920,115,3
921,116,1
922,116,1
923,116,1
924,116,1
925,116,1
926,116,1
927,116,1
928,116,1
929,117,3
930,117,1
931,117,3
932,117,2
933,117,3
934,117,2
935,117,3
936,117,3
937,118,1
938,118,3
939,118,1
940,118,1
941,118,1
942,118,2
943,118,1
944,118,1
945,119,2
946,119,2
947,119,2
948,119,1
949,119,1
950,119,2
951,119,1
952,119,1
953,120,2
954,120,1
955,120,3
956,120,1
957,120,2
958,120,1
959,120,1
960,120,1
961,121,2
962,121,1
963,121,1
964,121,1
965,121,2
966,121,1
967,121,1
968,121,2
969,122,1
970,122,1
971,122,1
972,122,1
973,122,1
974,122,2
975,122,1
976,122,1
977,123,2
978,123,3
979,123,2
980,123,3
981,123,2
982,123,3
983,123,2
984,123,1
985,124,3
986,124,3
987,124,3
988,124,1
989,124,2
990,124,3
991,124,2
992,124,3
993,125,1
994,125,1
995,125,1
996,125,2
997,125,2
998,125,3
999,125,1
1000,125,2
1001,126,3
1002,126,2
1003,126,2
1004,126,1
1005,126,3
1006,126,2
1007,126,2
1008,126,1
1009,127,3
1010,127,3
1011,127,3
1012,127,3
1013,127,1
1014,127,3
1015,127,3
1016,127,3
1017,128,1
1018,128,1
1019,128,1
1020,128,1
1021,128,1
1022,128,1
1023,128,1
1024,128,2
1025,129,2
1026,129,2
1027,129,1
1028,129,1
1029,129,1
1030,129,2
1031,129,2
1032,129,2
1033,130,3
1034,130,1
1035,130,1
1036,130,3
1037,130,2
1038,130,3
1039,130,2
1040,130,1
1041,131,1
1042,131,3
1043,131,3
1044,131,2
1045,131,2
1046,131,1
1047,131,2
1048,131,2
1049,132,1
1050,132,1
1051,132,1
1052,132,2
1053,132,1
1054,132,1
1055,132,1
1056,132,3
1057,133,2
1058,133,2
1059,133,1
1060,133,1
1061,133,1
1062,133,3
1063,133,2
1064,133,1
1065,134,1
1066,134,1
1067,134,3
1068,134,2
1069,134,1
1070,134,1
1071,134,2
1072,134,1
1073,135,3
1074,135,2
1075,135,3
1076,135,2
1077,135,1
1078,135,1
1079,135,1
1080,135,3
1081,136,1
1082,136,1
1083,136,3
1084,136,1
1085,136,2
1086,136,1
1087,136,1
1088,136,1
1089,137,1
1090,137,2
1091,137,1
1092,137,1
1093,137,1
1094,137,2
1095,137,2
1096,137,1
1097,138,1
1098,138,1
1099,138,2
1100,138,2
1101,138,1
1102,138,1
1103,138,2
1104,138,3
1105,139,2
1106,139,1
1107,139,2
1108,139,3
1109,139,2
1110,139,3
1111,139,1
1112,139,2
1113,140,3
1114,140,2
1115,140,3
1116,140,3
1117,140,3
1118,140,2
1119,140,3
1120,140,3
1121,141,3
1122,141,3
1123,141,3
1124,141,3
1125,141,3
1126,141,2
1127,141,1
1128,141,1
1129,142,2
1130,142,1
1131,142,1
1132,142,2
1133,142,2
1134,142,2
1135,142,1
1136,142,3
1137,143,3
1138,143,3
1139,143,3
1140,143,3
1141,143,1
1142,143,3
1143,143,3
1144,143,3
1145,144,1
1146,144,2
1147,144,1
1148,144,1
1149,144,1
1150,144,1
1151,144,3
1152,144,2
1153,145,1
1154,145,1
1155,145,1
1156,145,2
1157,145,1
1158,145,1
1159,145,1
1160,145,2
1161,146,1
1162,146,2
1163,146,3
1164,146,3
1165,146,2
1166,146,1
1167,146,2
1168,146,1
1169,147,1
1170,147,1
1171,147,1
1172,147,1
1173,147,1
1174,147,1
1175,147,3
1176,147,1
1177,148,2
1178,148,3
1179,148,2
1180,148,3
1181,148,2
1182,148,1
1183,148,3
1184,148,3
1185,149,2
1186,149,1
1187,149,1
1188,149,1
1189,149,2
1190,149,1
1191,149,2
1192,149,1
1193,150,2
1194,150,2
1195,150,2
1196,150,2
1197,150,3
1198,150,1
1199,150,1
1200,150,2
1201,151,2
1202,151,3
1203,151,1
1204,151,3
1205,151,2
1206,151,2
1207,151,1
1208,151,3
1209,152,3
1210,152,3
1211,152,2
1212,152,3
1213,152,3
1214,152,3
1215,152,3
1216,152,3
1217,153,2
1218,153,3
1219,153,3
1220,153,2
1221,153,2
1222,153,3
1223,153,1
1224,153,1
1225,154,1
1226,154,1
1227,154,1
1228,154,1
1229,154,2
1230,154,1
1231,154,1
1232,154,1
1233,155,1
1234,155,1
1235,155,1
1236,155,1
1237,155,1
1238,155,1
1239,155,1
1240,155,1
1241,156,1
1242,156,1
1243,156,1
1244,156,1
1245,156,2
1246,156,2
1247,156,1
1248,156,2
1249,157,3
1250,157,3
1251,157,3
1252,157,3
1253,157,2
1254,157,3
1255,157,3
1256,157,3
1257,158,3
1258,158,1
1259,158,3
1260,158,3
1261,158,3
1262,158,3
1263,158,3
1264,158,3
1265,159,1
1266,159,1
1267,159,1
1268,159,1
1269,159,1
1270,159,1
1271,159,1
1272,159,1
1273,160,1
1274,160,2
1275,160,3
1276,160,1
1277,160,2
1278,160,2
1279,160,1
1280,160,3
1281,161,1
1282,161,2
1283,161,1
1284,161,1
1285,161,1
1286,161,1
1287,161,2
1288,161,2
1289,162,1
1290,162,3
1291,162,3
1292,162,3
1293,162,3
1294,162,1
1295,162,2
1296,162,2
1297,163,1
1298,163,2
1299,163,1
1300,163,1
1301,163,1
1302,163,2
1303,163,2
1304,163,1
1305,164,2
1306,164,2
1307,164,1
1308,164,2
1309,164,3
1310,164,2
1311,164,3
1312,164,2
1313,165,1
1314,165,1
1315,165,1
1316,165,1
1317,165,2
1318,165,1
1319,165,2
1320,165,1
1321,166,3
1322,166,1
1323,166,3
1324,166,1
1325,166,3
1326,166,1
1327,166,3
1328,166,3
1329,167,1
1330,167,1
1331,167,1
1332,167,1
1333,167,2
1334,167,1
1335,167,2
1336,167,1
1337,168,2
1338,168,2
1339,168,2
1340,168,3
1341,168,3
1342,168,2
1343,168,2
1344,168,1
1345,169,2
1346,169,3
1347,169,3
1348,169,3
1349,169,2
1350,169,1
1351,169,2
1352,169,2
1353,170,1
1354,170,2
1355,170,1
1356,170,1
1357,170,1
1358,170,2
1359,170,1
1360,170,1
1361,171,2
1362,171,1
1363,171,2
1364,171,1
1365,171,3
1366,171,2
1367,171,2
1368,171,2
1369,172,3
1370,172,2
1371,172,3
1372,172,1
1373,172,3
1374,172,3
1375,172,2
1376,172,1
1377,173,3
1378,173,1
1379,173,3
1380,173,3
1381,173,3
1382,173,3
1383,173,2
1384,173,3
1385,174,1
1386,174,2
1387,174,1
1388,174,2
1389,174,1
1390,174,1
1391,174,1
1392,174,2
1393,175,2
1394,175,1
1395,175,1
1396,175,1
1397,175,1
1398,175,1
1399,175,1
1400,175,1
1401,176,2
1402,176,2
1403,176,1
1404,176,1
1405,176,1
1406,176,3
1407,176,1
1408,176,2
1409,177,1
1410,177,3
1411,177,2
1412,177,2
1413,177,3
1414,177,1
1415,177,1
1416,177,2
1417,178,3
1418,178,3
1419,178,3
1420,178,3
1421,178,2
1422,178,3
1423,178,3
1424,178,2
1425,179,2
1426,179,1
1427,179,1
1428,179,2
1429,179,2
1430,179,1
1431,179,2
1432,179,2
1433,180,1
1434,180,1
1435,180,1
1436,180,1
1437,180,1
1438,180,1
1439,180,1
1440,180,1
1441,181,2
1442,181,1
1443,181,1
1444,181,3
1445,181,3
1446,181,2
1447,181,1
1448,181,2
1449,182,2
1450,182,1
1451,182,3
1452,182,3
1453,182,3
1454,182,3
1455,182,2
1456,182,3
1457,183,1
1458,183,1
1459,183,1
1460,183,1
1461,183,1
1462,183,2
1463,183,1
1464,183,1
1465,184,1
1466,184,1
1467,184,2
1468,184,2
1469,184,1
1470,184,1
1471,184,2
1472,184,1
1473,185,2
1474,185,3
1475,185,3
1476,185,3
1477,185,3
1478,185,2
1479,185,2
1480,185,3
1481,186,1
1482,186,2
1483,186,3
1484,186,2
1485,186,1
1486,186,3
1487,186,3
1488,186,1
1489,187,2
1490,187,3
1491,187,3
1492,187,2
1493,187,3
1494,187,3
1495,187,3
1496,187,2
1497,188,2
1498,188,1
1499,188,2
1500,188,1
1501,188,1
1502,188,1
1503,188,1
1504,188,2
1505,189,3
1506,189,2
1507,189,2
1508,189,2
1509,189,3
1510,189,3
1511,189,3
1512,189,1
1513,190,2
1514,190,3
1515,190,3
1516,190,1
1517,190,3
1518,190,1
1519,190,2
1520,190,2
1521,191,3
1522,191,3
1523,191,3
1524,191,3
1525,191,3
1526,191,1
1527,191,3
1528,191,2
1529,192,2
1530,192,2
1531,192,1
1532,192,3
1533,192,3
1534,192,3
1535,192,3
1536,192,3
1537,193,2
1538,193,1
1539,193,1
1540,193,1
1541,193,2
1542,193,1
1543,193,3
1544,193,2
1545,194,3
1546,194,1
1547,194,2
1548,194,3
1549,194,1
1550,194,3
1551,194,1
1552,194,1
1553,195,3
1554,195,3
1555,195,3
1556,195,2
1557,195,3
1558,195,3
1559,195,3
1560,195,2
1561,196,3
1562,196,3
1563,196,3
1564,196,3
1565,196,3
1566,196,3
1567,196,3
1568,196,3
1569,197,3
1570,197,3
1571,197,3
1572,197,3
1573,197,3
1574,197,3
1575,197,3
1576,197,3
1577,198,1
1578,198,2
1579,198,2
1580,198,1
1581,198,3
1582,198,1
1583,198,1
1584,198,2
1585,199,1
1586,199,1
1587,199,1
1588,199,1
1589,199,1
1590,199,1
1591,199,2
1592,199,2
1593,200,2
1594,200,2
1595,200,1
1596,200,1
1597,200,1
1598,200,3
1599,200,1
1600,200,1
1601,201,3
1602,201,2
1603,201,1
1604,201,3
1605,201,2
1606,201,2
1607,201,1
1608,201,1
1609,202,2
1610,202,2
1611,202,1
1612,202,1
1613,202,3
1614,202,3
1615,202,1
1616,202,3
1617,203,3
1618,203,2
1619,203,2
1620,203,1
1621,203,3
1622,203,3
1623,203,1
1624,203,2
1625,204,2
1626,204,1
1627,204,2
1628,204,1
1629,204,1
1630,204,1
1631,204,1
1632,204,1
1633,205,2
1634,205,3
1635,205,2
1636,205,3
1637,205,2
1638,205,2
1639,205,1
1640,205,1
1641,206,1
1642,206,2
1643,206,1
1644,206,2
1645,206,1
1646,206,2
1647,206,1
1648,206,1
1649,207,3
1650,207,3
1651,207,3
1652,207,3
1653,207,3
1654,207,3
1655,207,3
1656,207,3
1657,208,2
1658,208,1
1659,208,1
1660,208,2
1661,208,1
1662,208,1
1663,208,1
1664,208,1
1665,209,1
1666,209,1
1667,209,2
1668,209,1
1669,209,1
1670,209,1
1671,209,2
1672,209,1
1673,210,1
1674,210,2
1675,210,2
1676,210,3
1677,210,1
1678,210,1
1679,210,1
1680,210,1
1681,211,1
1682,211,2
1683,211,1
1684,211,2
1685,211,2
1686,211,3
1687,211,2
1688,211,1
1689,212,3
1690,212,3
1691,212,3
1692,212,3
1693,212,3
1694,212,3
1695,212,3
1696,212,2
1697,213,1
1698,213,1
1699,213,1
1700,213,1
1701,213,1
1702,213,1
1703,213,1
1704,213,1
1705,214,2
1706,214,1
1707,214,1
1708,214,1
1709,214,1
1710,214,1
1711,214,1
1712,214,1
1713,215,1
1714,215,2
1715,215,2
1716,215,1
1717,215,3
1718,215,1
1719,215,2
1720,215,3
1721,216,2
1722,216,3
1723,216,3
1724,216,3
1725,216,2
1726,216,3
1727,216,3
1728,216,2
1729,217,1
1730,217,3
1731,217,3
1732,217,2
1733,217,2
1734,217,1
1735,217,3
1736,217,1
1737,218,2
1738,218,2
1739,218,3
1740,218,2
1741,218,3
1742,218,3
1743,218,2
1744,218,2
1745,219,3
1746,219,3
1747,219,1
1748,219,1
1749,219,1
1750,219,2
1751,219,3
1752,219,1
1753,220,1
1754,220,1
1755,220,1
1756,220,1
1757,220,1
1758,220,2
1759,220,2
1760,220,1
1761,221,1
1762,221,3
1763,221,2
1764,221,3
1765,221,3
1766,221,2
1767,221,3
1768,221,3
1769,222,2
1770,222,2
1771,222,1
1772,222,3
1773,222,3
1774,222,3
1775,222,1
1776,222,3
1777,223,3
1778,223,2
1779,223,1
1780,223,2
1781,223,2
1782,223,2
1783,223,1
1784,223,1
1785,224,3
1786,224,3
1787,224,3
1788,224,3
1789,224,3
1790,224,1
1791,224,2
1792,224,2
1793,225,1
1794,225,2
1795,225,3
1796,225,3
1797,225,2
1798,225,2
1799,225,2
1800,225,3
1801,226,1
1802,226,3
1803,226,1
1804,226,2
1805,226,2
1806,226,3
1807,226,3
1808,226,1
1809,227,1
1810,227,1
1811,227,1
1812,227,1
1813,227,1
1814,227,1
1815,227,3
1816,227,1
1817,228,2
1818,228,2
1819,228,3
1820,228,1
1821,228,3
1822,228,1
1823,228,3
1824,228,2
1825,229,3
1826,229,1
1827,229,1
1828,229,3
1829,229,1
1830,229,1
1831,229,1
1832,229,1
1833,230,3
1834,230,1
1835,230,3
1836,230,2
1837,230,3
1838,230,3
1839,230,3
1840,230,3
1841,231,2
1842,231,1
1843,231,1
1844,231,1
1845,231,1
1846,231,3
1847,231,2
1848,231,2
1849,232,1
1850,232,1
1851,232,1
1852,232,3
1853,232,1
1854,232,2
1855,232,3
1856,232,1
1857,233,1
1858,233,3
1859,233,3
1860,233,2
1861,233,2
1862,233,3
1863,233,3
1864,233,2
1865,234,1
1866,234,1
1867,234,1
1868,234,3
1869,234,2
1870,234,2
1871,234,1
1872,234,2
1873,235,1
1874,235,2
1875,235,2
1876,235,1
1877,235,2
1878,235,3
1879,235,1
1880,235,1
1881,236,1
1882,236,3
1883,236,3
1884,236,2
1885,236,2
1886,236,2
1887,236,2
1888,236,2
1889,237,2
1890,237,1
1891,237,1
1892,237,2
1893,237,3
1894,237,1
1895,237,1
1896,237,3
1897,238,3
1898,238,2
1899,238,3
1900,238,3
1901,238,3
1902,238,3
1903,238,2
1904,238,3
1905,239,2
1906,239,1
1907,239,1
1908,239,1
1909,239,1
1910,239,1
1911,239,1
1912,239,1
1913,240,2
1914,240,3
1915,240,3
1916,240,3
1917,240,2
1918,240,1
1919,240,2
1920,240,1
1921,241,2
1922,241,3
1923,241,3
1924,241,3
1925,241,3
1926,241,3
1927,241,3
1928,241,2
1929,242,2
1930,242,1
1931,242,1
1932,242,2
1933,242,3
1934,242,1
1935,242,1
1936,242,1
1937,243,1
1938,243,1
1939,243,1
1940,243,1
1941,243,1
1942,243,1
1943,243,2
1944,243,1
1945,244,3
1946,244,2
1947,244,3
1948,244,1
1949,244,2
1950,244,3
1951,244,3
1952,244,1
1953,245,2
1954,245,1
1955,245,2
1956,245,1
1957,245,1
1958,245,1
1959,245,1
1960,245,1
1961,246,2
1962,246,1
1963,246,2
1964,246,2
1965,246,1
1966,246,2
1967,246,1
1968,246,2
1969,247,1
1970,247,1
1971,247,1
1972,247,2
1973,247,1
1974,247,3
1975,247,1
1976,247,1
1977,248,1
1978,248,2
1979,248,1
1980,248,1
1981,248,2
1982,248,2
1983,248,1
1984,248,1
1985,249,1
1986,249,2
1987,249,2
1988,249,2
1989,249,1
1990,249,3
1991,249,1
1992,249,1
1993,250,1
1994,250,1
1995,250,1
1996,250,1
1997,250,2
1998,250,2
1999,250,3
2000,250,1
2001,251,3
2002,251,1
2003,251,1
2004,251,3
2005,251,2
2006,251,2
2007,251,2
2008,251,3
2009,252,1
2010,252,2
2011,252,1
2012,252,3
2013,252,2
2014,252,1
2015,252,3
2016,252,3
2017,253,1
2018,253,3
2019,253,2
2020,253,1
2021,253,1
2022,253,1
2023,253,3
2024,253,1
2025,254,1
2026,254,2
2027,254,3
2028,254,3
2029,254,3
2030,254,3
2031,254,2
2032,254,3
2033,255,3
2034,255,1
2035,255,2
2036,255,2
2037,255,2
2038,255,1
2039,255,1
2040,255,2
2041,256,3
2042,256,3
2043,256,1
2044,256,2
2045,256,1
2046,256,3
2047,256,3
2048,256,3
2049,257,1
2050,257,2
2051,257,1
2052,257,1
2053,257,1
2054,257,3
2055,257,2
2056,257,2
2057,258,2
2058,258,1
2059,258,1
2060,258,2
2061,258,2
2062,258,1
2063,258,1
2064,258,1
2065,259,1
2066,259,1
2067,259,1
2068,259,1
2069,259,1
2070,259,1
2071,259,2
2072,259,2
2073,260,1
2074,260,1
2075,260,1
2076,260,2
2077,260,1
2078,260,2
2079,260,3
2080,260,2
2081,261,2
2082,261,2
2083,261,1
2084,261,1
2085,261,1
2086,261,3
2087,261,2
2088,261,3
2089,262,1
2090,262,1
2091,262,1
2092,262,2
2093,262,1
2094,262,1
2095,262,1
2096,262,1
2097,263,3
2098,263,3
2099,263,2
2100,263,1
2101,263,2
2102,263,2
2103,263,2
2104,263,2
2105,264,2
2106,264,2
2107,264,1
2108,264,3
2109,264,3
2110,264,3
2111,264,1
2112,264,2
2113,265,3
2114,265,2
2115,265,3
2116,265,3
2117,265,3
2118,265,3
2119,265,3
2120,265,3
2121,266,3
2122,266,2
2123,266,3
2124,266,1
2125,266,2
2126,266,1
2127,266,1
2128,266,3
2129,267,2
2130,267,1
2131,267,2
2132,267,3
2133,267,2
2134,267,2
2135,267,1
2136,267,3
2137,268,1
2138,268,2
2139,268,2
2140,268,1
2141,268,2
